Model,Baseline Acc,Scrambled Mean,Scrambled Max,Empirical P-value,Verdict
Random Forest,0.9223,0.487,0.6019,0.0196,GENUINE SIGNAL (No significant leakage/overfitting)
XGBoost,0.9417,0.5052,0.6311,0.0196,GENUINE SIGNAL (No significant leakage/overfitting)
SVM (RBF),0.9515,0.501,0.6117,0.0196,GENUINE SIGNAL (No significant leakage/overfitting)
