,Rule 1 - 1 Exon,Rule 2 - 3 Exons,SVM (RBF) - 5k Exons,XGBoost - 5k Exons,Random Forest - 5k Exons,SVM (RBF) - 3 Exons,XGBoost - 3 Exons,Random Forest - 3 Exons,Decision Tree - 3 Exons
Rule 1 - 1 Exon,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Rule 2 - 3 Exons,1.0,9.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0
SVM (RBF) - 5k Exons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost - 5k Exons,1.0,2.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0
Random Forest - 5k Exons,0.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0
SVM (RBF) - 3 Exons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost - 3 Exons,1.0,2.0,0.0,3.0,2.0,0.0,5.0,2.0,1.0
Random Forest - 3 Exons,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0
Decision Tree - 3 Exons,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
